1;TOLL;00;2025-02-20-20.33.15.486;314188
1;TOLL;10;2025-02-20-20.33.15.486;1;314188;FAS;524;0,0000;17,000
1;TOLL;20;2025-02-20-20.33.15.486;1;03440541
2;TOLL;20;2025-02-20-20.33.15.486;1;03440541
1;TOLL;40;2025-02-20-20.33.15.486;1;4090442;05.02.2025;KO13243;Despec Denmark;;DKK;
1;TOLL;50;2025-02-20-20.33.15.486;1;;70071980;                         1,020;20;720;2438,74;N
2;TOLL;50;2025-02-20-20.33.15.486;1;;70071980;                         1,020;20;720;2438,75;N
3;TOLL;50;2025-02-20-20.33.15.486;1;;70071980;                         1,020;20;720;2438,74;N
4;TOLL;50;2025-02-20-20.33.15.486;1;;70071980;                         0,510;10;720;680,57;N
2;TOLL;40;2025-02-20-20.33.15.486;1;4090443;05.02.2025;NSK100015;Despec Denmark;;DKK;
1;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         0,600;1;732;467,68;N
2;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         1,500;2;732;1379,97;N
3;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         1,860;2;732;2712,64;N
4;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         1,860;2;732;2712,64;N
5;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         0,700;1;006;649,53;J
6;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         1,500;2;732;1379,97;N
7;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         2,160;3;006;1948,62;J
8;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         2,250;3;006;782,20;J
9;TOLL;50;2025-02-20-20.33.15.486;1;;84439990;                         0,900;1;732;1103,98;N
1;TOLL;99;2025-02-20-20.33.15.486;21134,03
